claim_id,unit_id,documento,pagina,seccion,tema,subtema,tipo_de_afirmacion,sujeto,afirmacion_normalizada,condiciones,excepciones,periodo,cifra_o_unidad,cita_textual,observaciones,taxonomia_nodo
CB-00001,B-000001,spec,,Spec §3.1 Base 16 questions,Q1,Q1 Name,requisito,Q1,Q1 question copy: Nombre completo,,,,1,"Q1 (Name) — Question: Nombre completo | Type: text | Options/Field: Free text, required [@prompt §3.1]",spec question copy,T10
CB-00002,B-000001,spec,,Spec §3.1 Base 16 questions,Q1,Q1 Name,regla,Q1,Q1 type: text,,,,1,"Q1 (Name) — Question: Nombre completo | Type: text | Options/Field: Free text, required [@prompt §3.1]",spec field type/validation,T10
CB-00003,B-000001,spec,,Spec §3.1 Base 16 questions,Q1,Q1 Name,requisito,Q1,"Q1 field: Free text, required",,,,1,"Q1 (Name) — Question: Nombre completo | Type: text | Options/Field: Free text, required [@prompt §3.1]",spec single field,T10
CB-00004,B-000002,spec,,Spec §3.1 Base 16 questions,Q2,Q2 Gender,requisito,Q2,Q2 question copy: Género,,,,2,"Q2 (Gender) — Question: Género | Type: single, required | Options/Field: Hombre · Mujer · Prefiero no mencionarlo [@prompt §3.1]",spec question copy,T10
CB-00005,B-000002,spec,,Spec §3.1 Base 16 questions,Q2,Q2 Gender,regla,Q2,"Q2 type: single, required",,,,2,"Q2 (Gender) — Question: Género | Type: single, required | Options/Field: Hombre · Mujer · Prefiero no mencionarlo [@prompt §3.1]",spec field type/validation,T10
CB-00006,B-000002,spec,,Spec §3.1 Base 16 questions,Q2,Q2 Gender,definicion,Q2,Q2 option: Hombre,,,,2,"Q2 (Gender) — Question: Género | Type: single, required | Options/Field: Hombre · Mujer · Prefiero no mencionarlo [@prompt §3.1]",spec option (split),T10
CB-00007,B-000002,spec,,Spec §3.1 Base 16 questions,Q2,Q2 Gender,definicion,Q2,Q2 option: Mujer,,,,2,"Q2 (Gender) — Question: Género | Type: single, required | Options/Field: Hombre · Mujer · Prefiero no mencionarlo [@prompt §3.1]",spec option (split),T10
CB-00008,B-000002,spec,,Spec §3.1 Base 16 questions,Q2,Q2 Gender,definicion,Q2,Q2 option: Prefiero no mencionarlo,,,,2,"Q2 (Gender) — Question: Género | Type: single, required | Options/Field: Hombre · Mujer · Prefiero no mencionarlo [@prompt §3.1]",spec option (split),T10
CB-00009,B-000003,spec,,Spec §3.1 Base 16 questions,Q3,Q3 Emotion,requisito,Q3,Q3 question copy: ¿Qué quieres sentir al salir del club?,,,,3,"Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés [@prompt §3.1]",spec question copy,T10
CB-00010,B-000003,spec,,Spec §3.1 Base 16 questions,Q3,Q3 Emotion,regla,Q3,"Q3 type: single, required",,,,3,"Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés [@prompt §3.1]",spec field type/validation,T10
CB-00011,B-000003,spec,,Spec §3.1 Base 16 questions,Q3,Q3 Emotion,definicion,Q3,Q3 option: Descargar tensión y salir con energía,,,,3,"Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés [@prompt §3.1]",spec option (split),T10
CB-00012,B-000003,spec,,Spec §3.1 Base 16 questions,Q3,Q3 Emotion,definicion,Q3,"Q3 option: Llenarme de energía, listo para el día",,,,3,"Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés [@prompt §3.1]",spec option (split),T10
CB-00013,B-000003,spec,,Spec §3.1 Base 16 questions,Q3,Q3 Emotion,definicion,Q3,Q3 option: Recuperar fuerza para mi día a día,,,,3,"Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés [@prompt §3.1]",spec option (split),T10
CB-00014,B-000003,spec,,Spec §3.1 Base 16 questions,Q3,Q3 Emotion,definicion,Q3,Q3 option: Sentirme más seguro de mí mismo,,,,3,"Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés [@prompt §3.1]",spec option (split),T10
CB-00015,B-000003,spec,,Spec §3.1 Base 16 questions,Q3,Q3 Emotion,definicion,Q3,Q3 option: Relajarme y bajarle al estrés,,,,3,"Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés [@prompt §3.1]",spec option (split),T10
