id,seccion,hallazgo,tipo,severidad,estado,evidencia_antes,evidencia_despues
A-001,Gobierno documental,Documentos de uso interno están publicados antes de su fecha de vigencia.,operación,MEDIA,abierto,,
A-002,MPC §1.2–1.3,"El registro maestro marca SOP 0102, 0103, 0201 y 0301 como ‘Por elaborar’ aunque ya están publicados.",inconsistencia,ALTA,abierto,,
A-003,"MPC §1.3, §9","El proceso dice ‘cinco procedimientos’, pero su mapa enumera siete códigos y varios pendientes.",contradicción,MEDIA,abierto,,
A-004,MPC §6,"El MPC anuncia once documentos de control, pero enumera doce elementos.",inconsistencia,BAJA,abierto,,
A-005,Instrumentos controlados,No existen como archivos controlados los instrumentos que los SOP exigen para operar.,hueco lógico,CRÍTICA,abierto,,
A-006,Fuentes rectoras,Hay varias piezas que se autodeclaran fuente única o canónica con contenido incompatible.,ownership,CRÍTICA,abierto,,
A-007,Manual MV/SW/01,El manual comercial v5.1 ya está publicado aunque el proceso todavía contiene contradicciones y bloques ‘Por definir’.,operación,ALTA,abierto,,
A-008,QA / CI,Los controles automáticos reportan cero hallazgos porque no validan las contradicciones semánticas del proceso.,dato,ALTA,abierto,,
A-009,Contrato / anexos,El contrato operativo visible está en revisión mientras una versión anterior archivada aparece como oficial.,ownership,ALTA,abierto,,
A-010,Modelo de canales,"No existe una taxonomía única: unos documentos hablan de tres canales, otros de cuatro, y el proceso mezcla canal, origen, interfaz y actor.",canal,CRÍTICA,abierto,,
A-011,BES Website,BES Website no está preservado como canal separado del flujo web autónomo.,canal,CRÍTICA,abierto,,
A-012,Convenios empresariales,El canal de Convenios Empresariales no tiene recorrido E2E ni procedimiento operativo.,canal,CRÍTICA,abierto,,
A-013,Referidos,"Referidos está simultáneamente pendiente en SOP 0104 y embebido en SOP 0103, sin programa controlado.",duplicidad,ALTA,abierto,,
A-014,WhatsApp,"La voz por WhatsApp está expresamente excluida, aunque es requisito del modelo objetivo.",canal,CRÍTICA,abierto,,
A-015,WhatsApp voz,"No hay consentimiento, aviso sonoro, límites de audio, tratamiento de transcripción ni excepciones de voz.",consentimiento,CRÍTICA,abierto,,
A-016,BDS / SOP 0101,El enrutamiento se contradice: BDS es human-first; el SOP 0101 es BES-first.,contradicción,CRÍTICA,abierto,A-016-antes.md,
A-017,Identidad BES,"El nombre BES identifica asistentes con propósitos incompatibles: documentación interna, demo informativa y agente comercial.",experiencia,ALTA,abierto,,
A-018,Handoff digital,Los umbrales de rebote y escalación a humano quedan ‘por definir’.,handoff,ALTA,abierto,,
A-019,Handoff BES → humano,No existe contrato de contexto transferido ni acuse del operador.,handoff,ALTA,abierto,,
A-020,CEI-01,El cuestionario no tiene una versión ni cardinalidad únicas.,contradicción,CRÍTICA,abierto,,
