mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00331,CA-00819,,COMPATIBLE_NO_EDIT,false,alta,[amenidad-muro-de-,body[756]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00332,CA-00820,,COMPATIBLE_NO_EDIT,false,alta,escalar) • amenidad-canchas • amenidad-sauna-vapor • amenidad-cafeteria,body[756]/txbx[0]/p[1,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00333,CA-00821,,COMPATIBLE_NO_EDIT,false,alta,clase-[specific-discipline],body[756]/txbx[1]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00334,CA-00822,,COMPATIBLE_NO_EDIT,false,alta,club-[club-name],body[757]/txbx[0]/p[0,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00335,CA-00823,,COMPATIBLE_NO_EDIT,false,alta,"When a user lands on a page and at least one Journal article exists with a tag matching that page, the contextual menu shows the Articulos o informaci6n util button, which expands to display the relevant articles",body[759,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00336,CA-00824,,COMPATIBLE_NO_EDIT,false,alta,"If no articles are tagged for that page, the button does not appear.",body[759,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00337,CA-00825,,COMPATIBLE_NO_EDIT,false,alta,Rule 30 - FitKidz-specific buttons,body[760]/Heading4,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00338,CA-00826,,COMPATIBLE_NO_EDIT,false,alta,"On the FitKidz page, in addition to the general buttons, a specific button -[ Clases Fi tKidz disponibles) (Available FitKidz classes) - appears once the user has a club identified",body[762,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00339,CA-00827,,COMPATIBLE_NO_EDIT,false,alta,"On press, it shows the FitKidz classes offered at that user's club, with their schedules.",body[762,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
M-00340,CA-00828,,COMPATIBLE_NO_EDIT,false,alta,"This button does not appear when the user has no club identified, because each club has a different subset of the 34 FitKidz activities, and showing them all without context would be misleading.",body[763,,,No change (Rules 22-31/33 text protected by §6). Rule 38 adds Tu rutina individual separately,Rules 22-31/33,review-only; Rule 38 handles solo-state menu label
