claim_id,unit_id,documento,pagina,seccion,tema,subtema,tipo_de_afirmacion,sujeto,afirmacion_normalizada,condiciones,excepciones,periodo,cifra_o_unidad,cita_textual,observaciones
CA-00001,A-000001,v4.1,,,,,regla,,Sports World Website -UX Specification,,,,,Sports World Website -UX Specification [@body[0]],auto-atomized from A-000001 (paragraph); seg 1/1; tipo heuristic
CA-00002,A-000002,v4.1,,,,,regla,,Document type: UX Specification (also known as a Behavior Specification) Version: 4.1 Issue date: May 2026 Status: Source of truth for design and engineering,,,,4.1; 2026,Document type: UX Specification (also known as a Behavior Specification) Version: 4.1 Issue date: May 2026 Status: Source of truth for design and engineering. Supersedes v4.0 and v3.0. [@body[1]],auto-atomized from A-000002 (paragraph); seg 1/2; tipo heuristic
CA-00003,A-000002,v4.1,,,,,cifra,,Supersedes v4.0 and v3.0.,,,,4.0; 3.0.,Document type: UX Specification (also known as a Behavior Specification) Version: 4.1 Issue date: May 2026 Status: Source of truth for design and engineering. Supersedes v4.0 and v3.0. [@body[1]],auto-atomized from A-000002 (paragraph); seg 2/2; tipo heuristic
CA-00004,A-000003,v4.1,,Document Control,Document Control,,definicion,Document Control,Document Control,,,,,Document Control [@body[4]/Heading2],auto-atomized from A-000003 (heading); seg 1/1; tipo heuristic
CA-00005,A-000004,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,Intended audience,,,,,Intended audience [@body[5]/Heading4],auto-atomized from A-000004 (heading); seg 1/1; tipo heuristic
CA-00006,A-000005,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,This document is the single source of truth for the behavior of the Sports World public website,,,,,This document is the single source of truth for the behavior of the Sports World public website. It is written for four reading audiences: [@body[6]],auto-atomized from A-000005 (paragraph); seg 1/2; tipo heuristic
CA-00007,A-000005,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,It is written for four reading audiences:,,,,,This document is the single source of truth for the behavior of the Sports World public website. It is written for four reading audiences: [@body[6]],auto-atomized from A-000005 (paragraph); seg 2/2; tipo heuristic
CA-00008,A-000006,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,Designers building the screens and interaction patterns.,,,,,Designers building the screens and interaction patterns. [@body[7]],auto-atomized from A-000006 (paragraph); seg 1/1; tipo heuristic
CA-00009,A-000007,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,Engineers implementing them.,,,,,Engineers implementing them. [@body[8]],auto-atomized from A-000007 (paragraph); seg 1/1; tipo heuristic
CA-00010,A-000008,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,Content and SEO teams populating each page.,,,,,Content and SEO teams populating each page. [@body[9]],auto-atomized from A-000008 (paragraph); seg 1/1; tipo heuristic
CA-00011,A-000009,v4.1,,Document Control,Intended audience,Intended audience,definicion,Intended audience,Client-side stakeholders signing off on each approval gate.,,,,,Client-side stakeholders signing off on each approval gate. [@body[10]],auto-atomized from A-000009 (paragraph); seg 1/1; tipo heuristic
