unit_id,tipo,pagina,encabezado,subencabezado,clausula,ubicacion_dentro_de_clausula,texto_normalizado,texto_original
A-000001,paragraph,,,,,body[0],Sports World Website -UX Specification,Sports World Website -UX Specification
A-000002,paragraph,,,,,body[1],Document type: UX Specification (also known as a Behavior Specification) Version: 4.1 Issue date: May 2026 Status: Source of truth for design and engineering. Supersedes v4.0 and v3.0.,Document type: UX Specification (also known as a Behavior Specification) Version: 4.1 Issue date: May 2026 Status: Source of truth for design and engineering. Supersedes v4.0 and v3.0.
A-000003,heading,,Document Control,,Document Control,body[4]/Heading2,Document Control,Document Control
A-000004,heading,,Document Control,Intended audience,Intended audience,body[5]/Heading4,Intended audience,Intended audience
A-000005,paragraph,,Document Control,Intended audience,Intended audience,body[6],This document is the single source of truth for the behavior of the Sports World public website. It is written for four reading audiences:,This document is the single source of truth for the behavior of the Sports World public website. It is written for four reading audiences:
A-000006,paragraph,,Document Control,Intended audience,Intended audience,body[7],Designers building the screens and interaction patterns.,Designers building the screens and interaction patterns.
A-000007,paragraph,,Document Control,Intended audience,Intended audience,body[8],Engineers implementing them.,Engineers implementing them.
A-000008,paragraph,,Document Control,Intended audience,Intended audience,body[9],Content and SEO teams populating each page.,Content and SEO teams populating each page.
A-000009,paragraph,,Document Control,Intended audience,Intended audience,body[10],Client-side stakeholders signing off on each approval gate.,Client-side stakeholders signing off on each approval gate.
A-000010,paragraph,,Document Control,Intended audience,Intended audience,body[12],"If a behavior is not described here, it does not exist on the site. If a behavior contradicts this document, this document wins until a new version is issued.","If a behavior is not described here, it does not exist on the site. If a behavior contradicts this document, this document wins until a new version is issued."
A-000011,heading,,Document Control,How to read this document,How to read this document,body[13]/Heading4,How to read this document,How to read this document
A-000012,paragraph,,Document Control,How to read this document,How to read this document,body[14],The document is organized in six parts plus four appendices.,The document is organized in six parts plus four appendices.
A-000013,paragraph,,Document Control,How to read this document,How to read this document,body[15],"Part 1-Project Fundamentals. Audience, business objectives, brand positioning, success measures.","Part 1-Project Fundamentals. Audience, business objectives, brand positioning, success measures."
A-000014,paragraph,,Document Control,How to read this document,How to read this document,body[16],"Part 2 - Conventions. Methodology declaration, code conventions, language conventions, scope boundary, how to read the matrices.","Part 2 - Conventions. Methodology declaration, code conventions, language conventions, scope boundary, how to read the matrices."
A-000015,paragraph,,Document Control,How to read this document,How to read this document,body[17],"Part 3 - Information Architecture. The 11 page types in scope plus the BES widget, the page count, the architecture diagram.","Part 3 - Information Architecture. The 11 page types in scope plus the BES widget, the page count, the architecture diagram."
A-000016,paragraph,,Document Control,How to read this document,How to read this document,body[18],Part 4 - Global Rules (Rule 1 to Rule 35). Behavior that applies across the entire site.,Part 4 -  Global Rules (Rule 1 to Rule 35). Behavior that applies across the entire site.
A-000017,paragraph,,Document Control,How to read this document,How to read this document,body[19],"Part 5 - Per-Page Behavior Matrices. One matrix per page type, showing what the user sees in each possible landing scenario.","Part 5 - Per-Page Behavior Matrices. One matrix per page type, showing what the user sees in each possible landing scenario."
A-000018,paragraph,,Document Control,How to read this document,How to read this document,body[20],Part 6 -Edge Cases & Error States. What the site does when the happy path fails.,Part 6 -Edge Cases & Error States. What the site does when the happy path fails.
A-000019,paragraph,,Document Control,How to read this document,How to read this document,body[21],Appendix A - Privacy & Data Handling (Rule 36).,Appendix A -  Privacy & Data Handling (Rule 36).
A-000020,paragraph,,Document Control,How to read this document,How to read this document,body[22],Appendix B - Out-of-Scope Pages (Rule 37).,Appendix B -  Out-of-Scope Pages (Rule 37).
A-000021,paragraph,,Document Control,How to read this document,How to read this document,body[23],Appendix C - Glossary.,Appendix C -  Glossary.
A-000022,paragraph,,Document Control,How to read this document,How to read this document,body[24],Appendix D - Code Reference.,Appendix D -  Code Reference.
A-000023,paragraph,,Document Control,How to read this document,How to read this document,body[26],Rules are numbered globally so they can be referenced unambiguously.,Rules are numbered globally so they can be referenced unambiguously.
A-000024,heading,,Document Control,Revision history,Revision history,body[28]/Heading4,Revision history,Revision history
A-000025,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[0]/c[0],Version,Version
A-000026,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[0]/c[1],Date,Date
A-000027,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[0]/c[2],Description,Description
A-000028,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[1]/c[0],1.0,1.0
A-000029,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[1]/c[1],Feb,Feb
A-000030,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[1]/c[2],Initial draft (sitemap + header rules),Initial draft (sitemap + header rules)
A-000031,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[2]/c[1],2026,2026
A-000032,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[3]/c[0],2.0,2.0
A-000033,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[3]/c[1],Mar,Mar
A-000034,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[3]/c[2],Added questionnaire and contextual menu logic,Added questionnaire and contextual menu logic
A-000035,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[4]/c[1],2026,2026
A-000036,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[5]/c[0],3.0,3.0
A-000037,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[5]/c[1],May,May
A-000038,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[5]/c[2],Added per-page matrices for the 12 page types,Added per-page matrices for the 12 page types
A-000039,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[6]/c[1],2026,2026
A-000040,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[7]/c[0],4.0,4.0
A-000041,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[7]/c[1],May 2026,May 2026
A-000042,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[7]/c[2],"Restructured to industry UX Specification format. Added Project Fundamentals, Conventions, Edge Cases & Error States. Tightened glossary.","Restructured to industry UX Specification format. Added Project Fundamentals, Conventions, Edge Cases & Error States. Tightened glossary."
A-000043,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[8]/c[0],4.1,4.1
A-000044,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[8]/c[1],May,May
A-000045,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[8]/c[2],Strict-adherence revision applying industry best practices (UXmatters / NN/G /,Strict-adherence revision applying industry best practices (UXmatters / NN/G /
A-000046,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[9]/c[1],2026,2026
A-000047,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[9]/c[2],Atlassian). Corrected brand positioning to Premium fitness (with( Premium,Atlassian). Corrected brand positioning to Premium fitness (with( Premium
A-000048,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[10]/c[1],f ami1 y fitness ]only on FitKidz). Declared mobile-first as the methodology.,f ami1 y fitness ]only on FitKidz). Declared mobile-first as the methodology.
A-000049,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[11]/c[1],"Restructured BES as a global floating widget with /bes as fallback URL, not a destination page. Added BES + WhatsApp reminder behavior with consent. Added","Restructured BES as a global floating widget with /bes as fallback URL, not a destination page. Added BES + WhatsApp reminder behavior with consent. Added"
A-000050,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[12]/c[1],explicit membership-no-checkout rule. Enumerated the 4 live data points per club.,explicit membership-no-checkout rule. Enumerated the 4 live data points per club.
A-000051,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[13]/c[1],"Adopted YMYL as canonical term. Refined cross-linking, schema markup, FitKidz IA,","Adopted YMYL as canonical term. Refined cross-linking, schema markup, FitKidz IA,"
A-000052,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[14]/c[1],tap targets. Removed all references to employee photographs (visual-asset rules live in,tap targets. Removed all references to employee photographs (visual-asset rules live in
A-000053,table_cell,,Document Control,Revision history,Revision history,table@body[30]/r[15]/c[1],the partner brief). Added search-query precedence rule. Added stale-plan refresh andexplicit accessibility floor.,the partner brief). Added search-query precedence rule. Added stale-plan refresh andexplicit accessibility floor.
A-000054,heading,,Document Control,A note on language,A note on language,body[34]/Heading4,A note on language,A note on language
A-000055,paragraph,,Document Control,A note on language,A note on language,body[35],"The Sports World website is delivered in Spanish (Mexico) to end users. Throughout this specification, button names and other production UI labels are kept in their Spanish form, with an English gloss in parentheses on first mention. The descriptive prose around them is in English","The Sports World website is delivered in Spanish (Mexico) to end users. Throughout this specification, button names and other production UI labels are kept in their Spanish form, with an English gloss in parentheses on first mention. The descriptive prose around them is in English"
A-000056,paragraph,,Document Control,A note on language,A note on language,body[36],"to serve a multilingual production team. Internal system codes (such as CIUDAD-1, ( CIUDAD-","to serve a multilingual production team. Internal system codes (such as CIUDAD-1, ( CIUDAD-"
A-000057,paragraph,,Document Control,A note on language,A note on language,body[37],ZMVM1 P10-WL ) are kept in Spanish because they map directly to implementation identifiers and,ZMVM1 P10-WL ) are kept in Spanish because they map directly to implementation identifiers and
