unit_id,tipo,pagina,encabezado,subencabezado,clausula,ubicacion_dentro_de_clausula,texto_normalizado,texto_original
B-000001,question,,Spec §3.1 Base 16 questions,Q1 Name,Q1,prompt §3.1,"Q1 (Name) — Question: Nombre completo | Type: text | Options/Field: Free text, required","Q1 (Name) — Question: Nombre completo | Type: text | Options/Field: Free text, required"
B-000002,question,,Spec §3.1 Base 16 questions,Q2 Gender,Q2,prompt §3.1,"Q2 (Gender) — Question: Género | Type: single, required | Options/Field: Hombre · Mujer · Prefiero no mencionarlo","Q2 (Gender) — Question: Género | Type: single, required | Options/Field: Hombre · Mujer · Prefiero no mencionarlo"
B-000003,question,,Spec §3.1 Base 16 questions,Q3 Emotion,Q3,prompt §3.1,"Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés","Q3 (Emotion) — Question: ¿Qué quieres sentir al salir del club? | Type: single, required | Options/Field: Descargar tensión y salir con energía · Llenarme de energía, listo para el día · Recuperar fuerza para mi día a día · Sentirme más seguro de mí mismo · Relajarme y bajarle al estrés"
B-000004,question,,Spec §3.1 Base 16 questions,Q4 Goal,Q4,prompt §3.1,"Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor","Q4 (Goal) — Question: ¿Qué buscas? | Type: multi, max 2, required | Options/Field: Bajar de peso · Mejorar mi estética corporal · Ganar fuerza · Mejorar condición y aguante · Recuperarme de una lesión o dolor"
B-000005,question,,Spec §3.1 Base 16 questions,Q5 Pace,Q5,prompt §3.1,"Q5 (Pace) — Question: ¿Qué ritmo va contigo? | Type: single, required | Options/Field: Intenso, que me rete · Moderado y constante · Suave/controlado","Q5 (Pace) — Question: ¿Qué ritmo va contigo? | Type: single, required | Options/Field: Intenso, que me rete · Moderado y constante · Suave/controlado"
B-000006,question,,Spec §3.1 Base 16 questions,Q6 Setting,Q6,prompt §3.1,"Q6 (Setting) — Question: ¿Dónde prefieres entrenar? | Type: single, required | Options/Field: En piso / área seca · En la alberca · Ambas · Lo que mi entrenador recomiende","Q6 (Setting) — Question: ¿Dónde prefieres entrenar? | Type: single, required | Options/Field: En piso / área seca · En la alberca · Ambas · Lo que mi entrenador recomiende"
B-000007,question,,Spec §3.1 Base 16 questions,Q7 Time,Q7,prompt §3.1,"Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00)","Q7 (Time) — Question: ¿En qué horario prefieres entrenar? | Type: multi, required | Options/Field: Temprano (5:00–8:00) · Media mañana (8:00–11:00) · Mediodía (11:00–14:00) · Primera tarde (14:00–17:00) · Tarde (17:00–20:00) · Noche (20:00–22:00)"
B-000008,question,,Spec §3.1 Base 16 questions,Q8 Days,Q8,prompt §3.1,"Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D","Q8 (Days) — Question: ¿Qué días prefieres entrenar? | Type: multi, required | Options/Field: L · M · X · J · V · S · D"
B-000009,question,,Spec §3.1 Base 16 questions,Q9 Level,Q9,prompt §3.1,"Q9 (Level) — Question: ¿Cuál es tu nivel de entrenamiento? | Type: single, required | Options/Field: Principiante · Intermedio · Avanzado","Q9 (Level) — Question: ¿Cuál es tu nivel de entrenamiento? | Type: single, required | Options/Field: Principiante · Intermedio · Avanzado"
B-000010,question,,Spec §3.1 Base 16 questions,Q10 History,Q10,prompt §3.1,"Q10 (History) — Question: ¿Vienes de otro gimnasio? | Type: single, required | Options/Field: Sí, vengo de otro gimnasio · Nunca he ido a un gimnasio · Regreso después de una pausa","Q10 (History) — Question: ¿Vienes de otro gimnasio? | Type: single, required | Options/Field: Sí, vengo de otro gimnasio · Nunca he ido a un gimnasio · Regreso después de una pausa"
