mapping_id,claim_a_id,claim_b_id,categoria,contradiccion_interna,confianza,cita_v41,ubicacion_v41,cita_spec,ubicacion_spec,accion_propuesta,locus_objetivo,observaciones
M-00721,,CB-00053,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q9 option: Principiante,spec Q9,Add to v4.2: Q9 option: Principiante,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00722,,CB-00054,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q9 option: Intermedio,spec Q9,Add to v4.2: Q9 option: Intermedio,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00723,,CB-00055,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q9 option: Avanzado,spec Q9,Add to v4.2: Q9 option: Avanzado,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00724,,CB-00056,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q10 question copy: ¿Vienes de otro gimnasio?,spec Q10,Add to v4.2: Q10 question copy: ¿Vienes de otro gimnasio?,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00725,,CB-00057,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q10 type: single, required",spec Q10,"Add to v4.2: Q10 type: single, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00726,,CB-00058,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q10 option: Sí, vengo de otro gimnasio",spec Q10,"Add to v4.2: Q10 option: Sí, vengo de otro gimnasio",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00727,,CB-00059,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q10 option: Nunca he ido a un gimnasio,spec Q10,Add to v4.2: Q10 option: Nunca he ido a un gimnasio,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00728,,CB-00060,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q10 option: Regreso después de una pausa,spec Q10,Add to v4.2: Q10 option: Regreso después de una pausa,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00729,,CB-00061,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q11 question copy: ¿Qué tan larga fue la pausa?,spec Q11,Add to v4.2: Q11 question copy: ¿Qué tan larga fue la pausa?,Rule 18/Rule 32 (conditional logic),NUEVA via node T13; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00730,,CB-00062,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q11 type: single, conditional",spec Q11,"Add to v4.2: Q11 type: single, conditional",Rule 18/Rule 32 (conditional logic),NUEVA via node T13; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00731,,CB-00063,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q11 option: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses,spec Q11,Add to v4.2: Q11 option: Visible only if Q10 = 'Regreso después de una pausa'. Options: Menos de 3 meses,Rule 18/Rule 32 (conditional logic),NUEVA via node T13; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00732,,CB-00064,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q11 option: Entre 3 y 12 meses,spec Q11,Add to v4.2: Q11 option: Entre 3 y 12 meses,Rule 18/Rule 32 (conditional logic),NUEVA via node T13; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00733,,CB-00065,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q11 option: Más de un año,spec Q11,Add to v4.2: Q11 option: Más de un año,Rule 18/Rule 32 (conditional logic),NUEVA via node T13; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00734,,CB-00067,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q12 type: multi, required",spec Q12,"Add to v4.2: Q12 type: multi, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00735,,CB-00068,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q12 option: Ninguna,spec Q12,Add to v4.2: Q12 option: Ninguna,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00736,,CB-00069,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q12 option: Lesión o dolor articular/muscular,spec Q12,Add to v4.2: Q12 option: Lesión o dolor articular/muscular,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00737,,CB-00070,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q12 option: Condición cardiovascular o de presión,spec Q12,Add to v4.2: Q12 option: Condición cardiovascular o de presión,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00738,,CB-00071,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q12 option: Embarazo (visible only if Q2 = Mujer),spec Q12,Add to v4.2: Q12 option: Embarazo (visible only if Q2 = Mujer),Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00739,,CB-00072,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q12 option: Otra, la comento en el club",spec Q12,"Add to v4.2: Q12 option: Otra, la comento en el club",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00740,,CB-00074,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q13 type: single, required",spec Q13,"Add to v4.2: Q13 type: single, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00741,,CB-00075,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q13 option: Solo/Sola, a mi ritmo",spec Q13,"Add to v4.2: Q13 option: Solo/Sola, a mi ritmo",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00742,,CB-00076,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q13 option: Acompañado/Acompañada, en clases o grupo",spec Q13,"Add to v4.2: Q13 option: Acompañado/Acompañada, en clases o grupo",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00743,,CB-00077,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q13 option: Me da igual,spec Q13,Add to v4.2: Q13 option: Me da igual,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00744,,CB-00079,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q14 type: single, required",spec Q14,"Add to v4.2: Q14 type: single, required",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00745,,CB-00080,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,"Q14 option: Solo/Sola, es mi momento",spec Q14,"Add to v4.2: Q14 option: Solo/Sola, es mi momento",Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00746,,CB-00081,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q14 option: Con mi amigo/a,spec Q14,Add to v4.2: Q14 option: Con mi amigo/a,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00747,,CB-00082,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q14 option: Con mi pareja,spec Q14,Add to v4.2: Q14 option: Con mi pareja,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00748,,CB-00083,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q14 option: Yo y mis hijos,spec Q14,Add to v4.2: Q14 option: Yo y mis hijos,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00749,,CB-00084,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q14 option: La familia completa,spec Q14,Add to v4.2: Q14 option: La familia completa,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
M-00750,,CB-00085,NUEVA_AFIRMACION_A_AGREGAR,false,alta,(bidirectional search: no v4.1 equivalent found in toca=true set),—,Q15 question copy: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo?,spec Q15,Add to v4.2: Q15 question copy: ¿Buscas el gimnasio cerca de tu casa o de tu trabajo?,Rule 18/19 (new questions),NUEVA via node T10; reverse search over Rule 18/19/20/32/Part3/Part5 found no legacy carrier
